Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Unnamed: 12,nutrition_risk,Disease,Portion_Size_g,Meal_ID,Day_Type,Log_Index,Confidence_Level
Tomato Sauce (1/2 cup),Condiment,40,1.513939261,7.261072893,1.039826999,2.08906473,3.816906934,357.6465674,0.0,Dinner,0,,Healthy,Healthy,150,254,Weekday,4864,Low
Jelly (1 tbsp grape),Condiment,50,0.0,12.80950712,0.0,0.098656397,12.59774654,5.052023594,0.0,Breakfast,0,,Healthy,Diabetes,180,222,Weekday,1245,Medium
Vitello Tonnato (1 serving),Meal/Meat,380,34.836624,2.886620534,24.49032792,0.511930206,1.02889851,598.3455517,112.2666843,Lunch,0,,Moderate,"Hypertension, Obesity, Heart Disease",150,57,Weekday,6856,High
Apple Pie (1 slice),Dessert,410,2.882116419,60.20568403,18.82152457,3.062980051,25.3208972,310.5983021,0.0,Snack,0,,Unhealthy,"Diabetes, Obesity",200,495,Weekday,7884,Low
Grilled Cheese Sandwich,Meal/Processed,390,14.37212712,32.84284088,21.32216321,3.105246321,3.919689989,822.9520012,57.98939822,Lunch,0,,Moderate,"Hypertension, Obesity, Heart Disease",250,352,Weekday,9962,High
Philly Cheesesteak (6 inch),Meal/Processed,500,25.55980846,39.64299976,28.52492083,2.935902337,5.229039363,1070.292847,71.55633982,Lunch,500,,Unhealthy,"Hypertension, Obesity, Heart Disease",200,85,Weekend,3439,High
White Bread (1 slice),Grain,70,2.091403811,13.04655515,1.00990547,0.60921975,1.19867031,135.6434398,0.0,Breakfast,0,,Healthy,Healthy,200,53,Weekday,1975,Low
Cupcake (Vanilla 1 medium),Dessert,240,1.94415354,33.71219955,11.38812313,1.007906504,23.95570843,205.0770884,30.54495449,Snack,0,,Moderate,Diabetes,180,261,Weekday,2562,Medium
Root Beer (1 can),Beverage,150,0.0,38.07134969,0.0,0.0,40.43582199,52.38768616,0.0,Snack,355,,Unhealthy,Diabetes,250,500,Weekday,866,Medium
Grilled Cheese Sandwich,Meal/Processed,390,14.6741894,30.73580778,23.06480865,2.970109681,4.035193866,768.2310627,58.86063727,Lunch,0,,Moderate,"Hypertension, Obesity, Heart Disease",150,434,Weekday,1233,Low
Macaroni Salad (1 cup),Meal/Pasta,380,8.366479349,30.49112748,25.00232611,3.094125377,6.226705047,725.8973247,20.43181122,Lunch,0,,Moderate,"Hypertension, Obesity, Heart Disease",100,464,Weekday,4680,High
Philly Cheesesteak (6 inch),Meal/Processed,500,25.55980846,39.64299976,28.52492083,2.935902337,5.229039363,1070.292847,71.55633982,Lunch,500,,Unhealthy,"Hypertension, Obesity, Heart Disease",200,85,Weekend,3439,High
Wild Rice (1 cup cooked),Grain,166,6.305991195,34.40752887,0.591547756,2.852162198,1.156041536,4.995735256,0.0,Dinner,0,,Healthy,Healthy,180,1,Weekday,4871,Medium
Croutons (Garlic 1/4 cup),Grain,50,1.446610443,7.335719713,2.074533534,0.522629104,0.486437254,135.5073759,0.0,Lunch,0,,Healthy,Healthy,100,185,Weekday,3086,High
Balsamic Glaze (1 tbsp),Condiment,40,0.0,8.789237254,0.0,0.0,8.330613842,10.09721336,0.0,Lunch,0,,Healthy,Healthy,150,209,Weekday,9623,Low
Pecorino Romano (1/4 cup),Dairy,110,7.697402494,0.977793079,8.658492597,0.0,0.0,436.9946814,25.22991894,Dinner,0,,Healthy,Hypertension,180,89,Weekday,762,High
Caesar Salad (with chicken),Meal/Protein,470,30.7705961,14.91915086,29.81707651,2.89497153,2.980890841,909.6739488,71.69419884,Lunch,250,,Moderate,"Hypertension, Obesity, Heart Disease",200,133,Weekend,5929,High
Mint Tea (1 cup),Beverage,2,0.09608723,0.512016375,0.0,0.0,0.0,4.756626864,0.0,Breakfast,240,,Healthy,Healthy,150,8,Weekday,8486,Medium
Negroni (1 drink),Beverage,190,0.0,14.90441207,0.0,0.0,14.47057043,5.207924639,0.0,Snack,90,,Healthy,Diabetes,250,344,Weekday,3802,Low
Bobotie (1 serving),Meal/Meat,450,24.01509446,30.93335972,24.20112926,4.899720682,15.4712774,690.5497111,150.7483188,Dinner,0,,Moderate,"Diabetes, Hypertension, Obesity, Heart Disease",250,28,Weekend,4403,High
Green Curry Paste (1 tbsp),Condiment,30,0.479608993,1.962259039,2.521298866,0.981098905,1.016409571,404.8563266,0.0,Dinner,0,,Healthy,Hypertension,180,202,Weekend,7601,Medium
Gelato (Pistachio 1/2 cup),Dessert,220,4.992179164,23.07406141,12.35589201,1.959081862,19.57424228,58.18613041,39.00749678,Snack,0,,Moderate,Diabetes,250,250,Weekday,9825,Medium
Tilapia (4oz baked),Protein/Fish,110,21.55709334,0.0,2.431331782,0.0,0.0,49.33233469,47.70943462,Dinner,0,,Healthy,Healthy,150,198,Weekend,6376,Low
Pickled Turnips (2 tbsp),Vegetable,10,0.197745942,2.04001057,0.0,0.514652974,0.983474631,194.3168038,0.0,Lunch,0,,Healthy,Healthy,100,276,Weekend,1885,Medium
Guacamole (1/4 cup),Vegetable/Condiment,90,1.028314462,3.826386632,8.254517902,3.068323198,0.514636508,123.4219338,0.0,Dinner,0,,Healthy,Healthy,250,252,Weekday,1305,High
Tiramisu (1 slice),Dessert,450,7.0,42.0,28.0,2.0,25.0,150.0,180.0,Snack,250,,Moderate,"Diabetes, Obesity, Heart Disease",150,394,Weekday,246,Low
Fish Sauce (1 tsp),Condiment,5,0.406962836,0.476141279,0.0,0.0,0.415587614,468.9058029,0.0,Dinner,0,,Healthy,Hypertension,100,42,Weekday,5388,Medium
Tuna Melt,Meal/Processed,450,24.75245962,32.05528711,24.07400607,3.142615274,4.150970965,933.622648,51.80614319,Lunch,250,,Moderate,"Hypertension, Obesity, Heart Disease",250,268,Weekday,5645,High
Macaroni Salad (1 cup),Meal/Pasta,380,7.971019531,30.41466634,25.91381805,3.121647357,6.033250945,764.9974437,19.51799038,Lunch,0,,Moderate,"Hypertension, Obesity, Heart Disease",250,353,Weekend,1329,Medium
Tuna Sauce (2 tbsp),Condiment,100,3.872299421,1.025814788,8.97681635,0.0,0.505504886,196.0829045,15.09980945,Lunch,0,,Healthy,Healthy,250,193,Weekday,7115,High
Potato Leek Soup (1 cup),Meal/Vegetable,180,4.174875434,25.57331995,6.977842114,2.92130553,3.968625724,662.5203108,14.6550339,Lunch,250,,Moderate,Hypertension,250,186,Weekend,920,Medium
Reuben Sandwich,Meal/Processed,650,27.97674297,36.50920757,38.95834029,4.908616465,6.0245328,1526.330047,102.728789,Lunch,500,,Unhealthy,"Hypertension, Obesity, Heart Disease",200,45,Weekday,2794,Medium
Empanada (Beef 1 medium),Meal/Processed,290,9.657249662,26.68722891,16.27074927,2.879996484,3.032007163,559.1122055,29.3568782,Lunch,0,,Moderate,Hypertension,100,196,Weekday,3929,Medium
Congee (1 cup plain),Meal/Grain,130,2.533886253,28.61888253,1.028839465,1.020830624,0.481229182,303.8156154,0.0,Breakfast,0,,Healthy,Healthy,100,417,Weekend,706,Medium
Potato Leek Soup (1 cup),Meal/Vegetable,180,4.101708701,25.02549025,7.047373789,3.137367312,4.021089398,639.7809259,15.0120647,Lunch,250,,Moderate,Hypertension,200,200,Weekend,3772,Medium
Canadian Bacon (2 slices),Protein/Meat,80,11.56314024,0.992508328,3.147885381,0.0,1.045798674,664.6682123,40.4990305,Breakfast,0,,Moderate,Hypertension,200,7,Weekday,8560,Medium
Coconut (shredded 1/4 cup),Fruit,110,1.009634797,4.662852707,10.12768781,1.970100131,1.494809484,3.049036074,0.0,Snack,0,,Healthy,Healthy,100,326,Weekday,5195,High
Choripan (1 sandwich),Meal/Processed,550,19.77702746,39.7145736,35.4375172,3.042361757,4.196305829,1138.401105,83.5624919,Lunch,250,,Unhealthy,"Hypertension, Obesity, Heart Disease",180,408,Weekday,9154,High
Chicken & Rice Soup (1 can),Meal/Processed,130,7.236433823,17.91547364,3.00095535,2.080250265,1.915258702,809.6931419,14.2699309,Lunch,250,,Moderate,Hypertension,150,310,Weekend,3450,Low
Beef Stroganoff (1.5 cups),Meal/Pasta,550,29.22690264,39.17571645,28.97408555,3.805183966,6.253245857,936.491832,100.5428065,Dinner,0,,Moderate,"Hypertension, Obesity, Heart Disease",100,407,Weekday,9613,Medium
Pecans (1 oz),Nut,196,2.507734911,4.094478466,19.86906523,2.658309241,1.054442588,0.0,0.0,Snack,0,,Moderate,Healthy,150,209,Weekday,5776,Medium
Bobotie (1 serving),Meal/Meat,450,24.48422663,28.62854925,25.89515396,5.01235802,14.9288024,676.4463811,152.4112648,Dinner,0,,Moderate,"Diabetes, Hypertension, Obesity, Heart Disease",180,485,Weekday,7891,Medium
Peanut Butter & Jelly Sandwich,Meal/Processed,390,12.0,50.0,17.0,5.0,20.0,450.0,0.0,Lunch,250,,Moderate,"Diabetes, Hypertension, Obesity",180,360,Weekend,136,High
Peanut Butter & Jelly Sandwich,Meal/Processed,390,12.46150666,51.6308179,17.69853256,5.150876983,20.18607715,438.1708135,0.0,Lunch,250,,Moderate,"Diabetes, Hypertension, Obesity",200,235,Weekday,8703,High
Green Peas (1/2 cup),Legume,62,4.1,11.1,0.2,4.4,4.2,2.0,0.0,Dinner,0,,Healthy,Healthy,180,361,Weekday,180,High
Peanut Butter & Jelly Sandwich,Meal/Processed,390,11.44140722,49.74302954,16.88852013,5.158696338,19.07763762,428.9379863,0.0,Lunch,250,,Moderate,"Diabetes, Hypertension, Obesity",100,198,Weekday,4820,High
Caesar Salad (with chicken),Meal/Protein,470,29.98577231,14.74275868,28.73925101,2.938382239,3.134485157,904.4201097,77.35452431,Lunch,250,,Moderate,"Hypertension, Obesity, Heart Disease",200,186,Weekday,3756,Medium
Guacamole (1/4 cup),Vegetable/Condiment,90,1.006945419,4.019759726,7.911126776,3.062672292,0.511671714,125.2046558,0.0,Dinner,0,,Healthy,Healthy,100,254,Weekend,8757,High
Sweet & Sour Chicken (1 cup),Meal/Processed,380,17.80384501,43.64509721,14.56861516,3.036289342,24.11852259,717.3659101,49.5800945,Dinner,0,,Moderate,"Diabetes, Hypertension",100,40,Weekend,8743,High
Green Beans (1 cup),Vegetable,31,1.746004331,6.84554312,0.199029498,2.586500843,3.25489074,5.932444902,0.0,Dinner,0,,Healthy,Healthy,200,136,Weekend,1395,Low
Cacio e Pepe (1.5 cups),Meal/Pasta,500,17.13325575,61.84333378,19.05286102,3.862956379,2.931206667,679.9147531,52.35913937,Dinner,0,,Moderate,"Hypertension, Obesity",150,477,Weekend,9882,Medium
Pretzels (1 oz),Grain/Processed,110,2.926471685,23.9946316,1.043536565,0.959342633,1.038866991,431.5075578,0.0,Snack,0,,Healthy,Hypertension,250,243,Weekend,7943,High
Pulled Pork Sandwich,Meal/Meat,480,25.11329026,45.96552779,20.32570291,2.874894408,15.49008964,940.7820162,75.81418513,Lunch,250,,Moderate,"Diabetes, Hypertension, Obesity, Heart Disease",100,355,Weekday,8830,High
Chocolate (Hershey's bar 1 segment),Dessert,25,0.305232744,3.016202791,1.558771073,0.19074696,2.688517783,4.14174825,0.966535485,Snack,0,,Healthy,Healthy,180,331,Weekend,2698,Low
Saltimbocca (1 serving),Meal/Meat,380,39.61781008,5.182039918,22.21946945,0.485207414,1.045675136,824.1761111,125.7799925,Dinner,0,,Moderate,"Hypertension, Obesity, Heart Disease",100,26,Weekday,4965,High
Prosecco (3 oz),Beverage,70,0.0,1.949290783,0.0,0.0,1.494844267,4.78325858,0.0,Snack,0,,Healthy,Healthy,200,305,Weekend,4008,Medium
Saltimbocca (1 serving),Meal/Meat,380,38.0,5.0,22.0,0.5,1.0,850.0,120.0,Dinner,0,,Moderate,"Hypertension, Obesity, Heart Disease",200,492,Weekday,562,Low
Gelato (Pistachio 1/2 cup),Dessert,220,5.012897912,23.98110813,11.77834848,1.913204396,19.72705305,57.29342861,40.11736792,Snack,0,,Moderate,Diabetes,100,182,Weekday,5392,Medium
Custard (1/4 cup),Condiment,80,2.865285667,9.828120902,2.857181452,0.0,7.736742159,40.88756534,39.91224792,Snack,0,,Healthy,Healthy,250,193,Weekday,9676,Medium
Stuffed Grape Leaves (3 pcs),Meal/Vegetarian,150,3.112700251,19.61978435,7.051035533,3.068152603,2.903796259,383.851468,0.0,Snack,0,,Healthy,Healthy,250,467,Weekday,7877,Medium
Pita Bread (1 white),Grain,165,5.5,33.0,1.2,1.5,1.5,310.0,0.0,Snack,0,,Healthy,Healthy,100,220,Weekend,610,High
Mocha Latte (16oz),Beverage,360,11.55158638,48.73641865,15.3514592,1.901591479,42.36001385,147.6302193,43.01443539,Snack,473,,Unhealthy,"Diabetes, Obesity",150,281,Weekend,5390,Medium
Macaroni Salad (1 cup),Meal/Pasta,380,8.040665295,30.42013728,24.64990598,3.1364171,5.976266387,745.7456257,20.08442593,Lunch,0,,Moderate,"Hypertension, Obesity, Heart Disease",250,383,Weekend,8278,Low
Watermelon (1 cup diced),Fruit,46,0.930560042,11.13635892,0.193797244,0.622446016,9.732144968,2.066273869,0.0,Snack,0,,Healthy,Healthy,150,486,Weekend,8378,Medium
Quesadilla (Cheese 1 medium),Meal/Processed,400,17.97079429,35.63917385,22.68580921,3.046885872,2.008386078,673.1731851,48.73246336,Lunch,250,,Moderate,"Hypertension, Obesity, Heart Disease",250,143,Weekday,3992,Medium
Garlic Sauce (Toum 1 tbsp),Condiment,90,0.1021955,0.950620696,10.0981277,0.0,0.507554696,77.13194712,5.185267828,Dinner,0,,Healthy,Healthy,250,234,Weekend,1386,Medium
Bobotie (1 serving),Meal/Meat,450,24.40127171,30.06908006,25.3786798,5.076221293,14.27417628,728.494996,155.8434,Dinner,0,,Moderate,"Diabetes, Hypertension, Obesity, Heart Disease",200,366,Weekend,9111,Medium
Lemon Juice (1 tsp in soup),Condiment,1,0.0,0.392151264,0.0,0.0,0.09543864,0.0,0.0,Lunch,0,,Healthy,Healthy,100,345,Weekday,5625,Medium
Sweet Chili Sauce (2 tbsp),Condiment,70,0.0,16.29523075,0.0,0.522259517,15.45244778,465.28719,0.0,Dinner,0,,Moderate,"Diabetes, Hypertension",250,353,Weekend,727,High
Collard Greens (1 cup cooked),Vegetable,60,5.157375336,9.824943486,0.967905209,6.992187716,0.995378237,41.76421654,0.0,Dinner,0,,Healthy,Healthy,200,342,Weekday,6431,Medium
Shrimp Cocktail (4 large shrimp),Protein/Seafood,60,10.06497776,0.978468234,0.955532111,0.0,0.499592468,307.8763485,106.5842091,Snack,0,,Healthy,Healthy,250,354,Weekday,7461,High
Baba Ganoush (1/4 cup),Meal/Vegetable,100,1.981652794,7.81213705,7.109973538,3.967214522,1.943521195,292.7433737,0.0,Snack,0,,Healthy,Healthy,200,234,Weekend,1745,Medium
Garlic Sauce (Toum 1 tbsp),Condiment,90,0.096596682,1.003392169,10.49838877,0.0,0.491367988,81.09018781,4.807575218,Dinner,0,,Healthy,Healthy,180,472,Weekend,4231,Medium
Green Peas (1/2 cup),Legume,62,4.265149671,11.25833211,0.200320166,4.219150852,4.342884021,1.962658994,0.0,Dinner,0,,Healthy,Healthy,150,38,Weekday,2700,Medium
Biryani (Chicken 1.5 cups),Meal/Meat,520,27.65508892,60.54912066,17.67515755,5.147596503,6.05390608,944.1353231,73.98555342,Dinner,0,,Moderate,"Hypertension, Obesity",200,403,Weekend,8178,Medium
Collard Greens (1 cup cooked),Vegetable,60,5.157375336,9.824943486,0.967905209,6.992187716,0.995378237,41.76421654,0.0,Dinner,0,,Healthy,Healthy,200,342,Weekday,6431,Medium
Ground Beef (2 oz in sauce),Protein/Meat,140,10.94138781,0.0,10.1737428,0.0,0.0,38.13446118,36.23623874,Dinner,0,,Healthy,Healthy,100,6,Weekday,5050,High
Apple Pie (1 slice),Dessert,410,2.915627,57.45316113,18.22182926,3.109459015,26.21078345,324.6992507,0.0,Snack,0,,Unhealthy,"Diabetes, Obesity",200,443,Weekend,5692,Medium
Pulled Pork Sandwich,Meal/Meat,480,25.11452407,46.77934837,20.392757,3.009309412,15.69034041,858.8282372,75.73785865,Lunch,250,,Moderate,"Diabetes, Hypertension, Obesity, Heart Disease",180,175,Weekday,3026,Medium
Figs (2 medium),Fruit,74,0.62567639,18.34139961,0.307817386,2.957402094,16.54673336,1.936239568,0.0,Snack,0,,Moderate,Diabetes,150,189,Weekend,8015,High
Pine Nuts (1 tbsp in pesto),Nut,95,1.986436449,1.976336634,10.00567778,0.497702822,0.519817003,0.0,0.0,Dinner,0,,Healthy,Healthy,200,289,Weekend,4100,Low
Pretzel Bun (1 medium),Grain,230,7.794448947,43.8376828,1.949732164,2.09505278,4.16324879,565.4017478,0.0,Lunch,0,,Healthy,Hypertension,250,53,Weekday,8212,Medium
Pesto Sauce (1/4 cup),Condiment,260,4.7737446,3.848254991,25.96336877,1.994506804,1.001674681,535.3858101,5.153445356,Dinner,0,,Moderate,"Hypertension, Heart Disease",200,13,Weekend,4690,Medium
Gochujang (1 tbsp),Condiment,30,0.498054078,5.985257561,0.0,0.486026761,3.863308614,191.7866234,0.0,Dinner,0,,Healthy,Healthy,200,329,Weekend,7952,Medium
Pisco Sour (1 drink),Beverage,250,0.989508759,24.34915576,0.0,0.0,25.00836614,5.130914685,5.034743231,Snack,180,,Unhealthy,Diabetes,100,93,Weekday,4583,Low
Blue Cheese Dressing (2 tbsp),Condiment,150,1.033103548,2.023500237,15.63103416,0.0,0.992024351,323.7576988,10.34723882,Lunch,0,,Moderate,Healthy,100,490,Weekend,7121,Medium
Creamed Spinach (1/2 cup),Vegetable,190,5.092486775,7.901693557,15.64420416,3.092042827,2.026811425,454.9805201,49.84643566,Dinner,0,,Moderate,Hypertension,200,273,Weekend,5857,High
Tortilla Chips (1 oz),Snack/Processed,140,1.962753463,19.61455967,6.844744945,1.901377357,0.483342889,124.1421692,0.0,Snack,0,,Healthy,Healthy,180,159,Weekend,3119,Low
Egg Yolk (1 large in sauce),Protein,55,2.694742785,0.602999953,4.630425321,0.0,0.292180691,7.615361875,187.4802312,Dinner,0,,Healthy,Healthy,150,431,Weekend,3055,High
Maple Syrup (1 tbsp),Condiment,52,0.0,13.39014784,0.0,0.0,12.4612929,0.997473765,0.0,Breakfast,0,,Healthy,Diabetes,200,122,Weekend,3231,High
Salami (3 slices),Protein/Processed,110,6.052976922,0.961583399,8.970819041,0.0,0.48295484,503.511814,30.46808402,Snack,0,,Healthy,Hypertension,200,233,Weekday,2824,Low
Pecorino Romano (1/4 cup),Dairy,110,7.34678842,0.960472496,8.801441422,0.0,0.0,452.9359215,26.10030274,Dinner,0,,Healthy,Hypertension,250,339,Weekend,7941,High
Dim Sum (Siu Mai 3 pcs),Meal/Processed,180,11.50815477,9.865782813,10.2463653,2.052679647,1.040329461,543.5930236,57.34397553,Lunch,0,,Healthy,Hypertension,250,114,Weekday,8400,Medium
Almond Milk (Unsweetened 1 cup),Beverage/Dairy-Alt,30,0.999550447,0.990848326,2.51121116,0.99931053,0.0,164.5343816,0.0,Breakfast,240,,Healthy,Healthy,180,236,Weekday,4026,Medium
Pesto Sauce (1/4 cup),Condiment,260,5.06858056,4.035413321,25.61078952,2.038446606,0.963015838,569.0113052,5.110035548,Dinner,0,,Moderate,"Hypertension, Heart Disease",250,159,Weekday,4428,Medium
Chocolate Milk (1 cup),Beverage/Dairy,200,8.084818988,26.36767138,8.150082178,1.002919277,24.64419301,165.5930844,29.49469826,Snack,0,,Moderate,Diabetes,250,92,Weekend,3905,High
Breadstick (1 large),Grain,160,3.899401297,28.42958776,3.130528929,0.985607602,1.965559428,354.4862469,0.0,Dinner,0,,Healthy,Healthy,180,42,Weekday,3559,High
Halibut (4oz baked),Protein/Fish,125,24.0,0.0,2.5,0.0,0.0,60.0,40.0,Dinner,250,,Healthy,Healthy,180,141,Weekday,184,Low
Ground Beef (2 oz in sauce),Protein/Meat,140,10.94138781,0.0,10.1737428,0.0,0.0,38.13446118,36.23623874,Dinner,0,,Healthy,Healthy,100,6,Weekday,5050,High
Cacio e Pepe (1.5 cups),Meal/Pasta,500,17.59299493,65.46647702,18.58544976,3.881636642,3.010722507,704.7217326,49.0714544,Dinner,0,,Moderate,"Hypertension, Obesity",150,289,Weekday,3484,High
Cacio e Pepe (1.5 cups),Meal/Pasta,500,18.68459039,64.48009469,19.02271732,4.050063001,3.00487502,727.7388628,49.12528557,Dinner,0,,Moderate,"Hypertension, Obesity",100,269,Weekend,4615,High
Caesar Salad (with chicken),Meal/Protein,470,31.15789485,14.75666458,30.59058486,2.936673031,2.959479425,853.9986829,78.4827741,Lunch,250,,Unhealthy,"Hypertension, Obesity, Heart Disease",150,467,Weekday,2654,Medium
Apple Pie (1 slice),Dessert,410,2.915627,57.45316113,18.22182926,3.109459015,26.21078345,324.6992507,0.0,Snack,0,,Unhealthy,"Diabetes, Obesity",200,443,Weekend,5692,Medium
Limoncello (1.5 oz shot),Beverage,150,0.0,17.37076934,0.0,0.0,18.32003392,0.0,0.0,Snack,0,,Moderate,Diabetes,250,287,Weekday,1511,Medium
Pepperoncini (2 peppers),Vegetable,10,0.5,2.0,0.0,1.0,1.0,350.0,0.0,Lunch,0,,Healthy,Healthy,180,270,Weekday,393,Low
Risotto alla Milanese (1 cup),Meal/Rice,350,9.745033793,51.27615283,11.85422432,3.118086453,2.946700896,682.7641915,30.72774166,Dinner,0,,Moderate,Hypertension,250,460,Weekday,5742,High
Aperol Spritz (1 drink),Beverage,180,0.0,20.26877382,0.0,0.0,19.64127535,10.30142267,0.0,Snack,150,,Moderate,Diabetes,250,123,Weekday,6111,High
Veggie Burger (1 patty),Protein/Vegetarian,120,11.38439573,10.14539111,3.823102897,5.144761326,1.029705874,361.4949483,0.0,Lunch,250,,Healthy,Healthy,200,47,Weekend,859,High
Tiramisu (1 slice),Dessert,450,6.959481169,43.27103169,26.60837811,1.913600825,24.53452125,148.7548659,187.5957734,Snack,250,,Moderate,"Diabetes, Obesity, Heart Disease",100,110,Weekday,2326,Medium
Dim Sum (Siu Mai 3 pcs),Meal/Processed,180,11.6253594,10.17932278,10.10485258,1.976279859,0.953448232,556.7213515,59.89103797,Lunch,0,,Healthy,Hypertension,180,233,Weekend,7767,Medium
Spaghetti Bolognese,Meal/Pasta,460,20.8872476,52.60419644,18.67853789,6.05946394,9.814617669,721.5235235,51.91294019,Dinner,250,,Moderate,"Hypertension, Obesity",250,486,Weekend,3290,Medium
White Wine (5 oz glass),Beverage,121,0.103734776,3.893741758,0.0,0.0,1.444942755,4.797795336,0.0,Dinner,0,,Healthy,Healthy,150,254,Weekday,1409,Low
Coconut (shredded garnish),Fruit,10,0.099143949,0.516022985,1.02050004,0.192874638,0.095166473,0.0,0.0,Snack,0,,Healthy,Healthy,100,84,Weekend,2419,High
Vitello Tonnato (1 serving),Meal/Meat,380,35.25209814,3.018924282,25.05215887,0.487556654,0.961394932,593.711108,113.1967092,Lunch,0,,Moderate,"Hypertension, Obesity, Heart Disease",100,301,Weekday,4222,High
Peanut Butter & Jelly Sandwich,Meal/Processed,390,12.15807241,49.96006702,17.20856764,5.031660132,19.23995529,459.2408974,0.0,Lunch,250,,Moderate,"Diabetes, Hypertension, Obesity",100,19,Weekday,1437,Medium
Sumac (1/2 tsp dressing),Condiment,5,0.102511617,1.037622137,0.203653001,0.492278737,0.0,0.985254792,0.0,Lunch,0,,Healthy,Healthy,250,95,Weekday,9729,Low
Muffin (Blueberry 1 large),Grain/Dessert,380,5.017029882,56.36924232,15.2116708,2.090383235,30.65152277,361.0467096,52.40396071,Breakfast,250,,Unhealthy,"Diabetes, Obesity",250,409,Weekday,2070,Medium
Chicken Milanesa (1 serving),Meal/Meat,450,33.53685023,28.74778661,21.67425139,3.040556732,1.984810492,730.0930088,95.72901278,Dinner,0,,Moderate,"Hypertension, Obesity, Heart Disease",180,371,Weekend,8146,High
Raisins (1 tbsp),Fruit,27,0.294494417,6.681184119,0.0,0.299990054,6.149398694,0.980017062,0.0,Dinner,0,,Healthy,Healthy,150,33,Weekday,4595,Medium
Mayonnaise (1 tbsp for dipping),Condiment,90,0.095688554,0.101247836,10.03660599,0.0,0.098240089,72.34325302,4.856213206,Dinner,0,,Healthy,Healthy,200,408,Weekend,9575,High
Onion (1/2 cup raw chopped),Vegetable,32,0.926646239,7.527470589,0.101691373,1.38581315,3.954852421,2.928494974,0.0,Dinner,0,,Healthy,Healthy,180,21,Weekday,4922,Medium
Muffin (Blueberry 1 large),Grain/Dessert,380,5.127272012,54.53517138,15.54286089,1.990672036,29.36535935,332.7249348,49.51046538,Breakfast,250,,Unhealthy,"Diabetes, Obesity",150,2,Weekend,3243,Medium
Beef Stroganoff (1.5 cups),Meal/Pasta,550,28.96559164,38.82035494,27.67433374,3.837564774,6.02892903,929.2515498,103.2087984,Dinner,0,,Moderate,"Hypertension, Obesity, Heart Disease",100,72,Weekday,5099,High
Trail Mix (1/4 cup),Snack/Processed,190,5.152137759,19.35876483,11.87082538,3.017671105,14.30962554,51.49266169,0.0,Snack,250,,Healthy,Diabetes,100,499,Weekend,3109,High
Brown Rice (1 cup cooked),Grain,215,5.163812986,46.60226424,1.858075948,3.399325979,0.412018708,9.908618471,0.0,Lunch,0,,Healthy,Healthy,150,48,Weekend,8918,Medium
Gnocchi (1 cup),Meal/Pasta,210,4.398613685,45.99204577,1.558181702,3.007831605,2.076887844,497.5853629,0.0,Dinner,0,,Healthy,Hypertension,100,234,Weekday,1752,High
